grid_id,centroid_lat,centroid_lon,area_m2
G0001,28.792307191052686,77.20355158340728,19722.615956820762
G0002,28.795643139309906,77.20250737770456,152933.10263720283
G0003,28.79989376335559,77.2018868629383,231805.32242248513
G0004,28.804301757322282,77.20187929224849,241823.17282454137
G0005,28.808711187497202,77.20251947327775,186824.55118155546
G0006,28.812188094259895,77.20308043729318,69761.1959201984
G0007,28.78752094379427,77.20790241105624,54678.13987649807
G0008,28.790881800927433,77.20684201279558,226157.95758774548
G0009,28.7952397049813,77.20672980613166,250000.0
G0010,28.79974946478099,77.2068248422475,250000.0
G0011,28.804259221279374,77.20691990015484,250000.0
G0012,28.808768974476074,77.20701497985766,250000.0
G0013,28.811904126507965,77.20689471856996,95738.19212033413
G0014,28.786735310715677,77.21189230361588,179188.3851168424
G0015,28.7906461544353,77.21175415558658,250000.0
G0016,28.795155901985016,77.21184938990925,250000.0
G0017,28.79966564623248,77.21194464606982,250000.0
G0018,28.804175387177334,77.2120399240723,250000.0
G0019,28.80868512481918,77.21213522392065,250000.0
G0020,28.811456242342366,77.2118629802471,53936.386499903165
G0021,28.78661394936593,77.2166565372228,186468.67613575887
G0022,28.7905621731479,77.2168734975359,250000.0
G0023,28.795071905110735,77.21696895184893,250000.0
G0024,28.799581633770014,77.21706442805025,250000.0
G0025,28.804091359125376,77.21715992614388,250000.0
G0026,28.80860108117643,77.21725544613379,250000.0
G0027,28.81274410357926,77.21871700189253,76973.30313112409
G0028,28.816436418953973,77.21955889688712,22274.496673636986
G0029,28.778793906250662,77.2231664469902,21434.217431450437
G0030,28.780037596526913,77.2232633649917,44679.457251313936
G0031,28.78705031438264,77.22172614278053,128179.86888326125
G0032,28.7904779980215,77.22199281760089,250000.0
G0033,28.794987714361515,77.2220884919003,250000.0
G0034,28.799497427396645,77.22218418813839,250000.0
G0035,28.804007137126558,77.22227990631917,250000.0
G0036,28.808516843550848,77.22237564644665,250000.0
G0037,28.81302654666913,77.22247140852483,250000.0
G0038,28.817319934842992,77.22274522640103,222560.6971856361
G0039,28.822155000187962,77.22415745390185,101447.47832014211
G0040,28.826663943891948,77.22325106422805,200188.55827814227
G0041,28.830776749151607,77.22332651757246,171912.91111769548
G0042,28.833524884922426,77.2223583756587,3749.693572804392
G0043,28.778043958559074,77.22721391874173,111776.94379060995
G0044,28.781190431185095,77.22711359765881,224793.97477970552
G0045,28.786302965497963,77.2274498901881,184810.51310876443
G0046,28.790393629059135,77.2271121157312,250000.0
G0047,28.794903329740368,77.22720801001297,250000.0
G0048,28.799413027115413,77.22730392628384,250000.0
G0049,28.803922721183913,77.22739986454779,250000.0
G0050,28.80843241194548,77.22749582480881,250000.0
G0051,28.812942099399727,77.22759180707097,250000.0
G0052,28.81745178354628,77.22768781133823,250000.0
G0053,28.821839465929195,77.22764596453095,233317.27296672727
G0054,28.82630896170025,77.22695435932539,155258.47197420563
G0055,28.830166260143873,77.22600743870258,36829.9232940689
G0056,28.772983931612085,77.23380692959064,42916.779215269475
G0057,28.777096124774392,77.23216273732388,210057.90377744773
G0058,28.781289686369888,77.23203922945844,250000.0
