grid_id,centroid_lat,centroid_lon,ndvi,ndbi,lst_celsius
G0001,28.79230719105269,77.20355158340728,0.22145769,-0.028953062,41.572723
G0002,28.795643139309902,77.20250737770456,0.17420919,-0.1848599,41.169373
G0003,28.79989376335559,77.2018868629383,0.3464861,-0.058294147,42.46823
G0004,28.80430175732228,77.20187929224849,0.17378451,0.06565319,44.8916
G0005,28.8087111874972,77.20251947327775,0.21047275,-0.0033917006,41.839325
G0006,28.81218809425989,77.20308043729318,0.23295857,0.0031931635,42.088837
G0007,28.78752094379427,77.20790241105624,0.5862805,-0.22066316,41.21039
G0008,28.790881800927437,77.20684201279558,0.3808027,-0.11187882,43.114227
G0009,28.7952397049813,77.20672980613166,0.20118979,0.0609696,49.52304
G0010,28.79974946478099,77.2068248422475,0.50902283,-0.20481975,44.782227
G0011,28.804259221279374,77.20691990015484,0.2741379,-0.025241962,44.83008
G0012,28.808768974476077,77.20701497985766,0.19186848,-0.19815312,41.3779
G0013,28.811904126507965,77.20689471856996,0.22665073,0.04658286,44.385742
G0014,28.78673531071568,77.21189230361588,0.35273483,-0.060414895,44.754883
G0015,28.7906461544353,77.21175415558658,0.31018797,-0.054295547,42.645966
G0016,28.795155901985016,77.21184938990925,0.22506073,-0.0077472455,44.72754
G0017,28.79966564623248,77.21194464606982,0.32764605,-0.06862156,41.928192
G0018,28.80417538717733,77.2120399240723,0.49293995,-0.1209937,42.003387
G0019,28.80868512481918,77.21213522392065,0.5560556,-0.2177722,43.91745
G0020,28.811456242342366,77.2118629802471,0.16092753,0.058305103,48.20706
G0021,28.78661394936593,77.2166565372228,0.5262864,-0.20561625,43.876434
G0022,28.7905621731479,77.2168734975359,0.3268809,-0.04293767,43.804657
G0023,28.79507190511073,77.21696895184893,0.5797574,-0.2130824,41.72995
G0024,28.79958163377001,77.21706442805025,0.22475289,0.029151231,43.356903
G0025,28.804091359125376,77.21715992614388,0.32856455,-0.029900502,43.674774
G0026,28.80860108117643,77.21725544613379,0.31664142,0.02235903,43.804657
G0027,28.81274410357926,77.21871700189253,0.18951644,0.044027563,48.538635
G0028,28.816436418953973,77.21955889688712,0.21050686,0.059932515,45.882843
G0029,28.778793906250662,77.2231664469902,0.2542328,0.011728125,45.647003
G0030,28.780037596526917,77.2232633649917,0.27679422,-0.02296272,43.6987
G0031,28.78705031438264,77.22172614278053,0.21399523,0.06095179,48.319855
G0032,28.7904779980215,77.22199281760089,0.2480227,0.0012156758,43.032196
G0033,28.794987714361515,77.2220884919003,0.31195542,-0.06861504,42.560516
G0034,28.799497427396645,77.22218418813839,0.2894737,-0.019094577,44.35495
G0035,28.80400713712656,77.22227990631917,0.19362463,0.06010756,45.51712
G0036,28.808516843550848,77.22237564644665,0.2989248,-0.021884888,43.83542
G0037,28.81302654666913,77.22247140852483,0.48146215,-0.16186555,42.293915
G0038,28.817319934842992,77.22274522640103,0.50464576,-0.24677688,40.072174
G0039,28.82215500018796,77.22415745390185,0.20021974,0.049280316,45.879425
G0040,28.826663943891948,77.22325106422805,0.22932947,-0.107305795,39.566315
G0041,28.830776749151607,77.22332651757246,0.3443178,-0.07036629,49.99814
G0042,28.833524884922426,77.2223583756587,0.3676907,-0.045362234,47.629425
G0043,28.778043958559078,77.22721391874173,0.3188548,-0.06437179,42.45114
G0044,28.78119043118509,77.22711359765881,0.25853443,-0.01864659,42.68698
G0045,28.786302965497963,77.2274498901881,0.29217163,-0.01740878,44.132782
G0046,28.790393629059132,77.2271121157312,0.35280064,-0.10397729,43.302216
G0047,28.794903329740368,77.22720801001297,0.19073781,0.06277981,46.41263
G0048,28.799413027115413,77.22730392628384,0.17705867,0.06595619,45.961456
G0049,28.803922721183916,77.22739986454779,0.44502068,-0.10882123,40.04483
G0050,28.80843241194548,77.22749582480881,0.22096393,0.037430815,44.949707
G0051,28.812942099399727,77.22759180707097,0.1820021,0.06856299,44.378906
G0052,28.81745178354628,77.22768781133823,0.42130363,-0.09362448,40.475525
G0053,28.821839465929195,77.22764596453095,0.18333237,0.03376806,45.67093
G0054,28.82630896170025,77.22695435932539,0.35301116,-0.045768186,43.459442
G0055,28.830166260143876,77.22600743870258,0.3020357,-0.028031796,49.13678
G0056,28.772983931612085,77.23380692959064,0.42861405,-0.09038527,44.334442
G0057,28.777096124774392,77.23216273732388,0.44410953,-0.16600855,43.418427
G0058,28.781289686369888,77.23203922945844,0.40973887,-0.089966,42.75876
G0059,28.785799377970243,77.23213529965172,0.19414677,0.06588431,48.6651
G0060,28.790309066263863,77.23223139187643,0.19069396,0.016497605,46.118683
G0061,28.794818751250364,77.23232750613658,0.38313133,-0.08956268,44.7959
G0062,28.799328432929364,77.2324236424362,0.21277632,0.016018337,46.92874
G0063,28.803838111300497,77.2325198007793,0.24453053,0.00929692,42.082
G0064,28.808347786363385,77.23261598116989,0.42249435,-0.09397172,44.91211
G0065,28.812857458117627,77.232712183612,0.23822688,0.0055382694,42.290497
G0066,28.81736712656286,77.23280840810963,0.16464524,0.08013844,47.913116
G0067,28.82109843788292,77.23290081826178,0.30804342,-0.03325671,43.466278
G0068,28.759840348430995,77.23878414752917,0.6139472,-0.24970636,40.102936
G0069,28.763555812031846,77.23872003790235,0.58617115,-0.22002096,41.958954
G0070,28.767883712026627,77.23806873145219,0.3203841,-0.043143634,42.66989
G0071,28.77232576373987,77.23712670089473,0.45597813,-0.1026196,41.586395
G0072,28.776695282022164,77.23706177578151,0.30677238,-0.0049395654,44.2695
G0073,28.78120496120216,77.23715804377063,0.22886588,-0.04209064,44.819824
G0074,28.785714637074477,77.23725433383753,0.22648698,0.014805726,44.970215
G0075,28.790224309638734,77.23735064598623,0.41596323,-0.14380735,40.913025
G0076,28.79473397889457,77.23744698022072,0.18867528,-0.035801906,48.507874
G0077,28.79924364484156,77.23754333654509,0.23933873,0.009778837,44.730957
G0078,28.80375330747938,77.23763971496331,0.34913567,-0.010623296,45.807648
G0079,28.80826296680761,77.23773611547944,0.19549681,0.06787326,46.586945
G0080,28.8127726228259,77.23783253809748,0.20159806,0.056052294,46.368195
G0081,28.817282275533856,77.23792898282149,0.4165737,-0.15379149,43.609833
G0082,28.821314737193653,77.23811773850765,0.34547403,-0.06550768,43.879852
G0083,28.75937286631233,77.24198429177291,0.35310632,-0.0521178,43.486786
G0084,28.763081368759952,77.24189101750008,0.4304714,-0.090349324,42.2153
G0085,28.767591042102023,77.24198743894823,0.48968646,-0.1438571,41.35739
G0086,28.772100712136226,77.24208388251243,0.58156496,-0.21605551,41.432587
G0087,28.77661037886219,77.2421803481967,0.3963129,-0.06201606,43.264618
G0088,28.781120042279525,77.24227683600506,0.28024325,0.0037685505,45.137695
G0089,28.785629702387865,77.24237334594156,0.190748,0.027441895,45.773468
G0090,28.79013935918682,77.2424698780102,0.45283806,-0.10079394,43.168915
G0091,28.79464901267601,77.24256643221504,0.5033179,-0.16650301,43.996063
G0092,28.79915866285507,77.2426630085601,0.5177691,-0.16201589,41.928192
G0093,28.80366830972361,77.24275960704944,0.41687146,-0.09998737,44.358368
G0094,28.80817795328125,77.24285622768706,0.20562322,0.077443786,46.101593
G0095,28.81268759352762,77.24295287047701,0.17266877,0.069617875,44.662598
G0096,28.81719723046232,77.24304953542335,0.1689811,0.062239982,43.9653
G0097,28.82145009297468,77.24309770049366,0.19607487,0.039383516,43.637177
